0.000,0.000,0.000
1.000,0.020,0.000
2.000,0.080,0.000
3.000,0.180,0.000
4.000,0.320,0.000
5.000,0.500,0.000
6.000,0.720,0.000
7.000,0.980,0.000
8.000,1.280,0.000
9.000,1.620,0.000
10.000,2.000,0.000
11.000,2.420,0.000
12.000,2.880,0.000
13.000,3.380,0.000
14.000,3.920,0.000
15.000,4.500,0.000
16.000,5.120,0.000
17.000,5.780,0.000
18.000,6.480,0.000
19.000,7.220,0.000
20.000,8.000,0.000
21.000,8.820,0.000
22.000,9.680,0.000
23.000,10.580,0.000
24.000,11.520,0.000
25.000,12.500,0.000
26.000,13.520,0.000
27.000,14.580,0.000
28.000,15.680,0.000
29.000,16.820,0.000
30.000,18.000,0.000
31.000,19.220,0.000
32.000,20.480,0.000
33.000,21.780,0.000
34.000,23.120,0.000
35.000,24.500,0.000
36.000,25.920,0.000
37.000,27.380,0.000
38.000,28.880,0.000
39.000,30.420,0.000
40.000,32.000,0.000
41.000,33.620,0.000
42.000,35.280,0.000
43.000,36.980,0.000
44.000,38.720,0.000
45.000,40.500,0.000
46.000,42.320,0.000
47.000,44.180,0.000
48.000,46.080,0.000
49.000,48.020,0.000
50.000,50.000,0.000
51.000,51.980,0.000
52.000,53.920,0.000
53.000,55.820,0.000
54.000,57.680,0.000
55.000,59.500,0.000
56.000,61.280,0.000
57.000,63.020,0.000
58.000,64.720,0.000
59.000,66.380,0.000
60.000,68.000,0.000
61.000,69.580,0.000
62.000,71.120,0.000
63.000,72.620,0.000
64.000,74.080,0.000
65.000,75.500,0.000
66.000,76.880,0.000
67.000,78.220,0.000
68.000,79.520,0.000
69.000,80.780,0.000
70.000,82.000,0.000
71.000,83.180,0.000
72.000,84.320,0.000
73.000,85.420,0.000
74.000,86.480,0.000
75.000,87.500,0.000
76.000,88.480,0.000
77.000,89.420,0.000
78.000,90.320,0.000
79.000,91.180,0.000
80.000,92.000,0.000
81.000,92.780,0.000
82.000,93.520,0.000
83.000,94.220,0.000
84.000,94.880,0.000
85.000,95.500,0.000
86.000,96.080,0.000
87.000,96.620,0.000
88.000,97.120,0.000
89.000,97.580,0.000
90.000,98.000,0.000
91.000,98.380,0.000
92.000,98.720,0.000
93.000,99.020,0.000
94.000,99.280,0.000
95.000,99.500,0.000
96.000,99.680,0.000
97.000,99.820,0.000
98.000,99.920,0.000
99.000,99.980,0.000
100.000,99.980,0.000
101.000,99.980,0.000
102.000,99.980,0.000
103.000,99.980,0.000
104.000,99.980,0.000
105.000,99.980,0.000
106.000,99.980,0.000
107.000,99.980,0.000
108.000,99.980,0.000
109.000,99.980,0.000
110.000,99.980,0.000
111.000,99.980,0.000
112.000,99.980,0.000
113.000,99.980,0.000
114.000,99.980,0.000
115.000,99.980,0.000
116.000,99.980,0.000
117.000,99.980,0.000
118.000,99.980,0.000
119.000,99.980,0.000
120.000,99.980,0.000
121.000,99.980,0.000
122.000,99.980,0.000
123.000,99.980,0.000
124.000,99.980,0.000
125.000,99.980,0.000
126.000,99.980,0.000
127.000,99.980,0.000
128.000,99.980,0.000
129.000,99.980,0.000
130.000,99.980,0.000
131.000,99.980,0.000
132.000,99.980,0.000
133.000,99.980,0.000
134.000,99.980,0.000
135.000,99.980,0.000
136.000,99.980,0.000
137.000,99.980,0.000
138.000,99.980,0.000
139.000,99.980,0.000
140.000,99.980,0.000
141.000,99.980,0.000
142.000,99.980,0.000
143.000,99.980,0.000
144.000,99.980,0.000
145.000,99.980,0.000
146.000,99.980,0.000
147.000,99.980,0.000
148.000,99.980,0.000
149.000,99.980,0.000
150.000,99.980,0.000
151.000,99.980,0.000
152.000,99.980,0.000
153.000,99.980,0.000
154.000,99.980,0.000
155.000,99.980,0.000
156.000,99.980,0.000
157.000,99.980,0.000
158.000,99.980,0.000
159.000,99.980,0.000
160.000,99.980,0.000
161.000,99.980,0.000
162.000,99.980,0.000
163.000,99.980,0.000
164.000,99.980,0.000
165.000,99.980,0.000
166.000,99.980,0.000
167.000,99.980,0.000
168.000,99.980,0.000
169.000,99.980,0.000
170.000,99.980,0.000
171.000,99.980,0.000
172.000,99.980,0.000
173.000,99.980,0.000
174.000,99.980,0.000
175.000,99.980,0.000
176.000,99.980,0.000
177.000,99.980,0.000
178.000,99.980,0.000
179.000,99.980,0.000
180.000,99.980,0.000
181.000,99.980,0.000
182.000,99.980,0.000
183.000,99.980,0.000
184.000,99.980,0.000
185.000,99.980,0.000
186.000,99.980,0.000
187.000,99.980,0.000
188.000,99.980,0.000
189.000,99.980,0.000
190.000,99.980,0.000
191.000,99.980,0.000
192.000,99.980,0.000
193.000,99.980,0.000
194.000,99.980,0.000
195.000,99.980,0.000
196.000,99.980,0.000
197.000,99.980,0.000
198.000,99.980,0.000
199.000,99.980,0.000
200.000,100.000,0.000
201.000,99.920,0.000
202.000,99.680,0.000
203.000,99.280,0.000
204.000,98.720,0.000
205.000,98.000,0.000
206.000,97.120,0.000
207.000,96.080,0.000
208.000,94.880,0.000
209.000,93.520,0.000
210.000,92.000,0.000
211.000,90.320,0.000
212.000,88.480,0.000
213.000,86.480,0.000
214.000,84.320,0.000
215.000,82.000,0.000
216.000,79.520,0.000
217.000,76.880,0.000
218.000,74.080,0.000
219.000,71.120,0.000
220.000,68.000,0.000
221.000,64.720,0.000
222.000,61.280,0.000
223.000,57.680,0.000
224.000,53.920,0.000
225.000,50.000,0.000
226.000,46.080,0.000
227.000,42.320,0.000
228.000,38.720,0.000
229.000,35.280,0.000
230.000,32.000,0.000
231.000,28.880,0.000
232.000,25.920,0.000
233.000,23.120,0.000
234.000,20.480,0.000
235.000,18.000,0.000
236.000,15.680,0.000
237.000,13.520,0.000
238.000,11.520,0.000
239.000,9.680,0.000
240.000,8.000,0.000
241.000,6.480,0.000
242.000,5.120,0.000
243.000,3.920,0.000
244.000,2.880,0.000
245.000,2.000,0.000
246.000,1.280,0.000
247.000,0.720,0.000
248.000,0.320,0.000
249.000,0.080,0.000
250.000,0.000,0.000
251.000,0.000,0.000
252.000,0.000,0.000
253.000,0.000,0.000
254.000,0.000,0.000
255.000,0.000,0.000
256.000,0.000,0.000
257.000,0.000,0.000
258.000,0.000,0.000
259.000,0.000,0.000
260.000,0.000,0.000
261.000,0.000,0.000
262.000,0.000,0.000
263.000,0.000,0.000
264.000,0.000,0.000
265.000,0.000,0.000
266.000,0.000,0.000
267.000,0.000,0.000
268.000,0.000,0.000
269.000,0.000,0.000
270.000,0.000,0.000
271.000,0.000,0.000
272.000,0.000,0.000
273.000,0.000,0.000
274.000,0.000,0.000
275.000,0.000,0.000
276.000,0.000,0.000
277.000,0.000,0.000
278.000,0.000,0.000
279.000,0.000,0.000
280.000,0.000,0.000
281.000,0.000,0.000
282.000,0.000,0.000
283.000,0.000,0.000
284.000,0.000,0.000
285.000,0.000,0.000
286.000,0.000,0.000
287.000,0.000,0.000
288.000,0.000,0.000
289.000,0.000,0.000
290.000,0.000,0.000
291.000,0.000,0.000
292.000,0.000,0.000
293.000,0.000,0.000
294.000,0.000,0.000
295.000,0.000,0.000
296.000,0.000,0.000
297.000,0.000,0.000
298.000,0.000,0.000
299.000,0.000,0.000
300.000,0.000,0.000
301.000,0.000,0.000
302.000,0.000,0.000
303.000,0.000,0.000
304.000,0.000,0.000
305.000,0.000,0.000
306.000,0.000,0.000
307.000,0.000,0.000
308.000,0.000,0.000
309.000,0.000,0.000
310.000,0.000,0.000
311.000,0.000,0.000
312.000,0.000,0.000
313.000,0.000,0.000
314.000,0.000,0.000
315.000,0.000,0.000
316.000,0.000,0.000
317.000,0.000,0.000
318.000,0.000,0.000
319.000,0.000,0.000
320.000,0.000,0.000
321.000,0.000,0.000
322.000,0.000,0.000
323.000,0.000,0.000
324.000,0.000,0.000
325.000,0.000,0.000
326.000,0.000,0.000
327.000,0.000,0.000
328.000,0.000,0.000
329.000,0.000,0.000
330.000,0.000,0.000
331.000,0.000,0.000
332.000,0.000,0.000
333.000,0.000,0.000
334.000,0.000,0.000
335.000,0.000,0.000
336.000,0.000,0.000
337.000,0.000,0.000
338.000,0.000,0.000
339.000,0.000,0.000
340.000,0.000,0.000
341.000,0.000,0.000
342.000,0.000,0.000
343.000,0.000,0.000
344.000,0.000,0.000
345.000,0.000,0.000
346.000,0.000,0.000
347.000,0.000,0.000
348.000,0.000,0.000
349.000,0.000,0.000
350.000,0.000,0.000
351.000,0.000,0.000
352.000,0.000,0.000
353.000,0.000,0.000
354.000,0.000,0.000
355.000,0.000,0.000
356.000,0.000,0.000
357.000,0.000,0.000
358.000,0.000,0.000
359.000,0.000,0.000
